TICK: 19173968: Log_pts_dbg - TSPC_BAP_37_11 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_37_12 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_37_13 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_37_14 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_37_15 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_37_16 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_37_17 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_37_2 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_37_3 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_37_4 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_37_5 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_37_6 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_37_7 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_37_8 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_37_9 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_38_1 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_38_10 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_38_11 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_38_12 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_38_13 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_38_14 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_38_15 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_38_16 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_38_2 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_38_3 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_38_4 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_38_5 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_38_6 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_38_7 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_38_8 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_38_9 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_39_1 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_39_10 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_39_11 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_39_12 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_39_13 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_39_14 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_39_15 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_39_16 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_39_2 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_39_3 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_39_4 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_39_5 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_39_6 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_39_7 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_39_8 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_39_9 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_3_1 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_3_2 FALSE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_40_1 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_40_10 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_40_11 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_40_12 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_40_13 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_40_14 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_40_15 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_40_16 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_40_2 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_40_3 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_40_4 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_40_5 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_40_6 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_40_7 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_40_8 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_40_9 TRUE
